Sales,Profit,Quantity,Cluster
8305.0,-1499.0000000000002,13.0,3
2629.0,-1267.0000000000002,14.0,3
429.0,586.0,11.0,3
860.0,748.0,10.0,3
5077.0,246.0,9.0,3
5469.0,-3095.0,8.0,3
1952.0,126.0,12.0,3
720.0,-1596.0000000000002,7.0,3
6564.0,-818.0000000000003,11.0,3
6567.0,967.0,14.0,3
553.0,-281.00000000000017,12.0,3
2061.0,-1477.0000000000002,14.0,3
1741.0,-1850.0,12.0,3
4813.0,-1736.0000000000002,11.0,3
6217.0,-1594.0000000000002,12.0,3
3684.0,-1449.0000000000002,9.0,3
7691.0,-2447.000000000001,11.0,3
1750.0,-289.0,12.0,3
649.0,512.0,10.0,3
7587.0,-3121.0,12.0,3
5624.0,-786.0000000000003,10.0,3
7269.0,-3039.0,13.0,3
3352.0,-642.0,9.0,3
7739.0,-2610.0,12.0,3
3909.0,-2948.0,7.0,3
1600.0,163.0,9.0,3
6663.0,-2556.0,12.0,3
5639.0,2320.0,12.0,3
6610.0,-2652.0,7.0,3
8772.0,-1684.0000000000002,12.0,3
6653.0,-2651.0,9.0,3
7110.0,755.0,14.0,3
4721.0,-3147.0,7.0,3
7384.0,1409.0,14.0,3
2057.9999999999995,-994.0000000000003,8.0,3
3361.0,1393.0,14.0,3
2343.9999999999995,635.0,14.0,3
7760.0,-467.0,14.0,3
1902.0000000000007,-1011.0000000000003,9.0,3
528.0,-2346.0,9.0,3
6009.0,2396.0,11.0,3
1212.0,504.0,7.0,3
4028.0,1537.0,10.0,3
5167.0,1955.0,11.0,3
5779.0,-477.0,11.0,3
4911.0,1294.0,9.0,3
6144.0,-1352.0000000000002,7.0,3
1174.0,-1669.0000000000002,7.0,3
7512.0,1481.0,13.0,3
8997.0,-2557.0,12.0,3
264.0,-2728.0,10.0,3
1723.0,-1694.0000000000007,9.0,3
366.0,-325.0,8.0,3
2647.0,167.0,11.0,3
1644.0,1422.0,14.0,3
5639.0,-2714.000000000001,7.0,3
4950.0,-491.0,9.0,3
781.0,-541.0,11.0,3
1548.0,-3025.0,10.0,3
6020.0,-2899.0,9.0,3
7540.0,-2703.0,11.0,3
8005.0,-717.0000000000003,14.0,3
495.0,-176.0,6.0,3
3232.0,-2255.0,9.0,3
34.0,-1754.0000000000002,9.0,3
2172.9999999999995,-1979.0000000000007,9.0,3
4889.0,-564.0,7.0,3
2669.0,-187.99999999999974,10.0,3
5318.0,1637.0,11.0,3
4280.0,-3197.0,9.0,3
6182.0,-961.0000000000003,10.0,3
8628.0,-2064.0,12.0,3
1466.0,1172.0,9.0,3
2781.0,-3226.0,13.0,3
4108.0,697.0,11.0,3
2042.0,-2425.0,13.0,3
6709.0,-2404.0,14.0,3
3078.0,-1553.0000000000002,10.0,3
7771.0,216.0,14.0,3
2653.0,-121.0,9.0,3
3267.0,1729.0,13.0,3
6553.0,1954.0,13.0,3
3350.0,159.0,9.0,3
7146.0,1230.0,13.0,3
4974.0,886.0,14.0,3
5596.0,-2559.000000000001,12.0,3
4817.0,1185.0,12.0,3
526.0,-1021.0000000000003,10.0,3
1105.0,656.0,14.0,3
7882.0,1394.0,12.0,3
4116.0,1769.0,14.0,3
644.0,732.0,13.0,3
1777.0,-1328.0000000000002,8.0,3
910.0,328.0,6.0,3
7965.0,-316.0,14.0,3
4309.0,-2962.0,7.0,3
6326.0,-2570.0,10.0,3
3831.0,1074.0,8.0,3
6404.0,-2440.0,8.0,3
5797.0,-475.0,6.0,3
2453.0000000000005,-1435.0000000000002,9.0,3
2524.0,-2589.0,9.0,3
2755.0,113.0,9.0,3
2796.0,-705.0000000000003,8.0,3
744.0,-180.0,6.0,3
5406.0,1048.0,10.0,3
160.0,-143.0,10.0,3
4770.0,-853.0000000000003,7.0,3
4363.0,45.0,14.0,3
686.0,294.0,7.0,3
8614.0,-2474.0,10.0,3
366.0,-2375.0,12.0,3
3048.0,-1039.0000000000002,11.0,3
1632.0,-930.0000000000003,9.0,3
1710.0,1109.0,10.0,3
134.0,672.0,11.0,3
2509.0,-2058.0,12.0,3
2304.0000000000005,-2738.0,8.0,3
7786.0,-1178.0000000000002,12.0,3
8174.0,-1978.0,13.0,3
1720.0,-3190.0,10.0,3
4328.0,-211.00000000000026,12.0,3
3562.0,719.0,11.0,3
156.0,-107.0,10.0,3
3286.0,-1693.0000000000002,12.0,3
7899.0,745.0,12.0,3
5928.0,-2777.0,8.0,3
9308.0,-2618.0,11.0,3
4742.0,-3035.0,6.0,3
4501.0,847.0,9.0,3
2865.0,1182.0,12.0,3
6634.0,1502.0,12.0,3
4676.0,-2273.0,8.0,3
6312.0,1884.0,14.0,3
2804.0,-1921.0,14.0,3
1302.0,-2640.0,6.0,3
1964.0000000000007,-1683.0000000000002,14.0,3
8910.0,-2497.0,12.0,3
6590.0,-720.0000000000003,8.0,3
3481.0,-968.0000000000003,14.0,3
463.0,-1418.9999999999998,13.0,3
8942.0,-1378.0000000000002,13.0,3
6019.0,-2803.0,13.0,3
5464.0,-1884.0,11.0,3
952.0,622.0000000000001,7.0,3
13.0,-1094.0000000000002,12.0,3
543.0,-2094.0,7.0,3
1812.0,587.0000000000001,9.0,3
8510.0,-2804.0,12.0,3
4748.0,1048.0,12.0,3
4278.0,1053.0,13.0,3
2533.0,188.0,11.0,3
4575.0,128.0,7.0,3
4582.0,-3237.0,14.0,3
4421.0,857.0,8.0,3
1551.0,-1601.9999999999998,9.0,3
373.0,1138.0,11.0,3
8345.0,-2434.0,11.0,3
2424.0,446.99999999999983,14.0,3
5489.0,1123.0,9.0,3
4725.0,491.00000000000017,9.0,3
8553.0,-3186.0,13.0,3
2530.0,476.0,13.0,3
3938.0,374.0,12.0,3
2238.0,-2470.000000000001,13.0,3
4463.0,-2814.0,11.0,3
172.0,-544.0,13.0,3
885.0,1163.0,8.0,3
4535.0,-2788.0,6.0,3
3146.0,633.9999999999999,13.0,3
4822.0,-507.0,11.0,3
7798.0,357.99999999999983,13.0,3
1699.0,595.0,13.0,3
4515.0,97.0,14.0,3
3767.0,-39.0,11.0,3
5606.0,-1571.0000000000002,11.0,3
7477.0,-2628.0,14.0,3
871.0,-2021.0,9.0,3
6540.0,-2266.0,8.0,3
3352.0,-2310.0,12.0,3
348.0,-2015.0,9.0,3
5163.0,-2924.0,7.0,3
8398.0,-767.0000000000003,14.0,3
6603.0,949.0,14.0,3
1483.0,-2815.0,12.0,3
7076.0,1222.0,14.0,3
1945.0,-979.0000000000003,8.0,3
6319.0,-2378.0,7.0,3
4487.0,-2514.0,6.0,3
5839.0,-2035.0000000000007,12.0,3
8004.0,-2890.0,9.0,3
4062.0,-1581.0000000000002,12.0,3
5295.0,331.0,9.0,3
5733.0,1537.0,14.0,3
6392.0,-81.0,10.0,3
1419.0,721.0,13.0,3
6955.0,-2792.0,13.0,3
191.0,-905.0000000000003,8.0,3
2113.0000000000005,343.0,7.0,3
4515.0,780.0,11.0,3
4844.0,-1983.0,12.0,3
8731.0,-1441.0000000000002,12.0,3
4883.0,-1611.0000000000002,11.0,3
621.0,-1353.0000000000007,12.0,3
3538.0,-1375.0000000000002,11.0,3
4419.0,-1035.0000000000002,9.0,3
4552.0,-2914.0,12.0,3
2213.0,-3016.0,8.0,3
5206.0,-1121.0000000000002,12.0,3
8679.0,-2325.000000000001,11.0,3
2458.0,1300.0,7.0,3
2474.0000000000005,-942.0000000000003,10.0,3
5759.0,-1216.0000000000002,11.0,3
3717.0,714.0,11.0,3
1561.0,-201.0,7.0,3
1295.0,-2209.0,7.0,3
5797.0,-2685.0,13.0,3
4048.0,-123.0,9.0,3
2497.0,-149.0,10.0,3
8348.0,-2374.0,14.0,3
3208.0,1369.0,12.0,3
5841.0,2159.0,13.0,3
1415.0,-386.0,11.0,3
5329.0,-2157.000000000001,11.0,3
2829.0,-428.0,13.0,3
4528.0,-2685.0,8.0,3
4708.0,-1243.0000000000002,13.0,3
3588.0,-1857.0,12.0,3
2143.0,-887.0000000000003,14.0,3
5406.0,-2904.0,11.0,3
9832.0,-2391.000000000001,11.0,3
5001.0,-2723.0,8.0,3
1757.0,-1202.0000000000002,13.0,3
1900.0,-1644.0000000000002,13.0,3
1218.0,-84.0,8.0,3
6570.0,1971.0,13.0,3
4511.0,-1103.0000000000002,11.0,3
2759.0,-2096.000000000001,14.0,3
6961.0,-2734.0,9.0,3
5903.0,321.0,13.0,3
6534.0,-2486.0,7.0,3
1460.0,-1675.0000000000002,10.0,3
5853.0,-476.0,11.0,3
4035.0,-3110.0,7.0,3
5862.0,-1839.0000000000007,13.0,3
2905.0,-180.0,11.0,3
2198.0,-365.0,7.0,3
1753.0,273.0,13.0,3
3388.0,-1095.0000000000002,8.0,3
7865.0,432.0,13.0,3
5897.0,-276.0,8.0,3
6455.0,-498.0,12.0,3
7003.0,800.0,13.0,3
3851.0,291.0,10.0,3
